week_index,day_index,Shift,Hour,Avg_PassengersHour_3yr,Avg_BoothsHour_3yr
4,3,00-08,2,231,6
4,3,00-08,3,160,3
4,3,00-08,4,148,6
4,3,00-08,5,296.5,7
4,3,00-08,6,618.6666667,8
4,3,00-08,7,296,10.5
4,3,08-16,8,658.3333333,17
4,3,08-16,9,700.6666667,13.33333333
4,3,08-16,10,377.6666667,11
4,3,08-16,11,159.5,8
4,3,08-16,12,340.5,8.5
4,3,08-16,13,397.6666667,13.33333333
4,3,08-16,14,1235.333333,16.33333333
4,3,08-16,15,1302.333333,15
4,3,16-00,16,1163,15
4,3,16-00,17,61,9
4,3,16-00,18,427.3333333,14
4,3,16-00,19,815,13.66666667
4,3,16-00,20,1030.333333,13
4,3,16-00,21,326.3333333,8
4,3,16-00,22,228.3333333,6.666666667
4,3,16-00,23,266,5.333333333
4,4,00-08,0,148,4
4,4,00-08,1,172.6666667,5.666666667
4,4,00-08,2,157.3333333,5.666666667
4,4,00-08,3,163.5,5
4,4,00-08,4,397,6
4,4,00-08,5,463.3333333,8
4,4,00-08,6,371.3333333,9
4,4,00-08,7,363.5,13
4,4,08-16,8,663,12.66666667
4,4,08-16,9,203.6666667,11.66666667
4,4,08-16,10,509.3333333,13
4,4,08-16,11,371,12
4,4,08-16,12,287.5,10.5
4,4,08-16,13,565,15.33333333
4,4,08-16,14,828,18
4,4,08-16,15,1493.666667,16.66666667
4,4,16-00,16,1444,18
4,4,16-00,17,244,12
4,4,16-00,18,365.6666667,13.33333333
4,4,16-00,19,947,13.33333333
4,4,16-00,20,764.6666667,12
4,4,16-00,21,326,7
4,4,16-00,22,308.3333333,7.666666667
4,4,16-00,23,269.6666667,6.666666667
4,5,00-08,0,276,4
4,5,00-08,1,220.6666667,4.333333333
4,5,00-08,2,241,5
4,5,00-08,3,330,5
4,5,00-08,4,276,6
4,5,00-08,5,243,6.666666667
4,5,00-08,6,582.3333333,7.666666667
4,5,00-08,7,764,12
4,5,08-16,8,878.6666667,15
4,5,08-16,9,551.6666667,12
4,5,08-16,10,393,13
4,5,08-16,11,173,11
4,5,08-16,12,315.5,11
4,5,08-16,13,519,10.5
4,5,08-16,14,1172.333333,16.66666667
4,5,08-16,15,1678,17
4,5,16-00,16,755.3333333,17
4,5,16-00,17,410.5,10.5
4,5,16-00,18,349,11.33333333
4,5,16-00,19,765,12.66666667
4,5,16-00,20,896.6666667,12
4,5,16-00,21,225,7.5
4,5,16-00,22,516,7.5
4,5,16-00,23,242,6.5
4,6,00-08,0,159,6
4,6,00-08,1,231.3333333,4.666666667
4,6,00-08,2,164,4
4,6,00-08,3,327,5.5
4,6,00-08,4,516,8
4,6,00-08,5,616.6666667,8
4,6,00-08,6,340,9.333333333
4,6,00-08,7,556.5,14
4,6,08-16,8,748,14.5
4,6,08-16,9,553,12.66666667
4,6,08-16,10,179.5,8
4,6,08-16,11,176,7
4,6,08-16,12,320,9.666666667
4,6,08-16,13,435.3333333,12
4,6,08-16,14,1644,17
4,6,08-16,15,1138.666667,19
4,6,16-00,16,819.3333333,18
4,6,16-00,17,489,16.5
4,6,16-00,18,253.6666667,10.33333333
4,6,16-00,19,1287.333333,13.66666667
4,6,16-00,20,789.3333333,11
4,6,16-00,21,250,10.66666667
4,6,16-00,22,453.3333333,8.666666667
4,6,16-00,23,379.3333333,8.666666667
4,7,00-08,0,155,5
4,7,00-08,1,281.6666667,5.333333333
4,7,00-08,2,136.5,4
4,7,00-08,3,262.5,6.5
4,7,00-08,4,174,8
4,7,00-08,5,571.3333333,8.333333333
4,7,00-08,6,378.3333333,8.666666667
4,7,00-08,7,601.5,13.5
4,7,08-16,8,644.6666667,16
4,7,08-16,9,439.6666667,9.333333333
4,7,08-16,10,451.6666667,8
4,7,08-16,11,379,8
4,7,08-16,12,324.5,8.5
4,7,08-16,13,402.6666667,12.66666667
4,7,08-16,14,1242.666667,16
4,7,08-16,15,1815.666667,17.66666667
4,7,16-00,16,707.6666667,21.33333333
4,7,16-00,17,294.5,12.5
4,7,16-00,18,483.3333333,12.33333333
4,7,16-00,19,957,12.66666667
4,7,16-00,20,875.3333333,11.33333333
4,7,16-00,21,312,9
4,7,16-00,22,315,6.666666667
4,7,16-00,23,148,7
5,1,00-08,0,161,4.5
5,1,00-08,1,220.6666667,4.333333333
5,1,00-08,2,241,4.5
5,1,00-08,3,179,4
5,1,00-08,4,153,5
5,1,00-08,5,580,10
5,1,00-08,6,465.6666667,8.666666667
5,1,00-08,7,354.6666667,12
5,1,08-16,8,920.5,16
5,1,08-16,9,291.3333333,9.333333333
5,1,08-16,10,229,10.33333333
5,1,08-16,11,354,12
5,1,08-16,12,423.6666667,12.66666667
5,1,08-16,13,544,14.66666667
5,1,08-16,14,1154.333333,17.33333333
5,1,08-16,15,1254,18.33333333
5,1,16-00,16,882.6666667,18
5,1,16-00,17,295,15
5,1,16-00,18,406.6666667,10.33333333
5,1,16-00,19,762.6666667,14.66666667
5,1,16-00,20,615.3333333,14
5,1,16-00,21,189.3333333,6
5,1,16-00,22,255,7
5,1,16-00,23,539.3333333,8.333333333
5,2,00-08,0,159,5.5
5,2,00-08,1,257,5.666666667
5,2,00-08,2,234.5,4.5
5,2,00-08,3,336,7
5,2,00-08,4,302.5,6
5,2,00-08,5,209.6666667,5.666666667
5,2,00-08,6,417,8.666666667
5,2,00-08,7,283.5,12.5
5,2,08-16,8,685.3333333,15.66666667
5,2,08-16,9,478.5,11.5
5,2,08-16,10,367.6666667,8.666666667
5,2,08-16,11,94.5,7
5,2,08-16,12,265.5,10.5
5,2,08-16,13,425,16.66666667
5,2,08-16,14,1037.666667,17.66666667
5,2,08-16,15,1403,17.33333333
5,2,16-00,16,803.3333333,18.33333333
5,2,16-00,17,168.6666667,12.33333333
5,2,16-00,18,472.6666667,13
5,2,16-00,19,459.3333333,12.66666667
5,2,16-00,20,240.3333333,11.66666667
5,2,16-00,21,496,9
5,2,16-00,22,258,5.5
5,2,16-00,23,335,7.666666667
5,3,00-08,0,165,5
5,3,00-08,1,239,5.5
5,3,00-08,2,165.3333333,6
5,3,00-08,3,325,5.5
5,3,00-08,4,169,5
5,3,00-08,5,260,9
5,3,00-08,6,574.3333333,8.333333333
5,3,00-08,7,379,15
5,3,08-16,8,742.6666667,17.66666667
5,3,08-16,9,315,10.66666667
5,3,08-16,10,322,11.33333333
5,3,08-16,11,460,9
5,3,08-16,12,152,9
5,3,08-16,13,408,14
5,3,08-16,14,921,16
5,3,08-16,15,1149.666667,17
5,3,16-00,16,578.3333333,17.66666667
5,3,16-00,17,466,12
5,3,16-00,18,521.3333333,10.66666667
5,3,16-00,19,549.6666667,12.33333333
5,3,16-00,20,696.6666667,11.66666667
5,3,16-00,21,242.5,8
5,3,16-00,22,484.6666667,6.333333333
5,3,16-00,23,306,5
5,4,00-08,0,165,4
5,4,00-08,1,233.6666667,4.666666667
5,4,00-08,2,146,4
5,4,00-08,3,333,5.5
5,4,00-08,4,256,7
5,4,00-08,5,486,7.333333333
5,4,00-08,6,166,7
5,4,00-08,7,401.5,15.5
5,4,08-16,8,655,17.66666667
5,4,08-16,9,320.6666667,10
5,4,08-16,10,253.5,11
5,4,08-16,11,172,15
5,4,08-16,12,326,11.66666667
5,4,08-16,13,632,14
5,4,08-16,14,1002.333333,16.66666667
5,4,08-16,15,1064,16.33333333
5,4,16-00,16,1074.333333,18.66666667
5,4,16-00,17,543,20
5,4,16-00,18,97.5,10
5,4,16-00,19,657.3333333,12.33333333
5,4,16-00,20,419,11.66666667
5,4,16-00,21,334,11
